X_deg,Y_deg,Pop,GridCellArea,Country,ElecPop,WindVel,GHI,TravelHours,Elevation,ResidentialDemandTierCustom,Slope,NightLights,LandCover,SubstationDist,TransformerDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,IsUrban,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,id,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025High,Pop2025Low,Pop2030High,Pop2030Low,Pop2018,ElecStart,GridDistCalibElec,FinalElecCode2018,MVConnectDist,minTDdist,Pop2025,NewConnections2025,NumPeoplePerHH,Tier,EnergyPerSettlement2025,TotalEnergyPerCell,SADieselFuelCost2025,MGDieselFuelCost2025,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Grid2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,FinalElecCode2025,NewCapacity2025,Pop2030,NewConnections2030,EnergyPerSettlement2030,SADieselFuelCost2030,MGDieselFuelCost2030,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030,Off_Grid_Code2030,Grid2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,InvestmentCapita2030,FinalElecCode2030,NewCapacity2030
42.00045,10.9668,91.06037,0.017,Djibouti,0.0,5.08063,2264.0,4.03333,314.0,175.8125,0.75041,0.0,16,77.972,9999,88.574,61.783,12.231,12.231,11.954,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1409,1.1076348,0.08181981,100.67011,0.0,103.4423,101.04593,105.469055,101.31523,100.67011,0,9999,99,12.231,12.231,103.4423,103.4423,7.7,4,11699.179,11928.401,48.938503,30.714006,99.0,0.26522082,99.0,99,99,0.2804619,MG_PV2025,0.26522082,5.0,99.0,0.0,0,MG_PV2025,0.26522082,5.0,26971.713,1,260.7416,5.0,6.3993583,105.469055,2.026752,229.22278,48.938503,30.714006,99.0,0.2264452,99.0,99,99,0.6109998,MG_PV2030,0.2264452,5.0,0.07284347,13.547482,1,Grid2030,0.07284347,1.0,145.82364,1,71.94943,1.0,0.035669282
41.9767,10.97138,45.53018,0.009,Djibouti,0.0,5.0863,2269.0,4.08333,303.0,175.8125,1.3675,0.0,16,80.351,9999,91.122,61.757,14.518,14.518,14.282,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1303,1.1076348,0.08213202,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,14.518,51.721146,51.721146,7.7,4,5849.589,5964.2,49.104424,30.720785,99.0,0.3095145,99.0,99,99,0.2798439,SA_PV2025,0.2798439,3.0,99.0,0.0,0,SA_PV2025,0.2798439,3.0,12804.3,1,247.56413,3.0,2.8644967,52.73452,1.0133759,114.61138,49.104424,30.720785,99.0,6.647775,99.0,99,99,0.6096534,SA_PV2030,0.6096534,3.0,99.0,0.0,0,SA_PV2030,0.6096534,3.0,315.03552,1,310.8773,3.0,0.056124274
42.0131,10.97166,182.12074,0.026,Djibouti,0.0,5.09222,2271.0,3.61667,321.0,175.8125,0.7282,0.0,16,76.497,9999,87.153,61.001,10.748,10.748,10.472,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1304,1.1076348,0.08245849,201.34023,0.0,206.8846,202.09186,210.93811,202.63046,201.34023,0,9999,99,10.748,10.748,206.8846,206.8846,7.7,4,23398.357,23856.803,47.55586,30.657528,99.0,0.23940384,99.0,99,99,0.27959743,MG_PV2025,0.23940384,5.0,99.0,0.0,0,MG_PV2025,0.23940384,5.0,48842.605,1,236.08623,5.0,12.759266,210.93811,4.053504,458.44556,47.55586,30.657528,99.0,0.22205943,99.0,99,99,0.6091165,MG_PV2030,0.22205943,5.0,0.06938792,11.904859,1,Grid2030,0.06938792,1.0,282.98383,1,69.81216,1.0,0.071338564
41.96837,10.98305,45.53018,0.009,Djibouti,0.0,5.01494,2273.0,4.08333,302.0,175.8125,1.34515,0.0,16,80.926,9999,91.941,60.645,15.103,15.103,14.909,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1302,1.1076348,0.078236766,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,15.103,51.721146,51.721146,7.7,4,5849.589,5964.2,49.104424,30.720785,99.0,0.30919278,99.0,99,99,0.2793514,SA_PV2025,0.2793514,3.0,99.0,0.0,0,SA_PV2025,0.2793514,3.0,12781.768,1,247.12846,3.0,2.8594558,52.73452,1.0133759,114.61138,49.104424,30.720785,99.0,6.6474547,99.0,99,99,0.6085806,SA_PV2030,0.6085806,3.0,99.0,0.0,0,SA_PV2030,0.6085806,3.0,314.4811,1,310.3302,3.0,0.05602551
42.05663,10.9848,774.0131,0.087,Djibouti,0.0,5.12988,2280.1196,3.12821,332.75998,186.32327,1.06255,0.0,16,71.525,9999,82.302,58.672,5.811,5.811,5.51,99,0,0,1,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1408,1.1236314,0.084546976,855.6959,0.0,879.2595,858.8904,896.48694,861.17944,855.6959,0,9999,99,5.811,5.811,879.2595,879.2595,7.7,4,99443.016,101391.414,45.93495,30.591316,99.0,0.21917613,99.0,99,99,0.27847913,MG_PV2025,0.21917613,5.0,0.1286621,6.529422,1,Grid2025,0.1286621,1.0,158305.67,1,180.04431,1.0,15.474295,896.48694,17.22739,1948.3937,45.93495,30.591316,99.0,0.21833055,99.0,99,99,0.6066803,MG_PV2030,0.21833055,5.0,0.03,0.0,1,Grid2030,0.03,1.0,1173.7773,1,68.13436,1.0,0.3031889
42.06588,10.98555,45.53018,0.009,Djibouti,0.0,5.17361,2279.0,3.21667,337.0,175.8125,1.63851,0.0,16,70.527,9999,81.287,58.399,4.885,4.885,4.556,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1301,1.1418033,0.086996995,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,4.885,51.721146,51.721146,7.7,4,5849.589,5964.2,46.228497,30.603308,99.0,0.30871236,99.0,99,99,0.27861595,SA_PV2025,0.27861595,3.0,99.0,0.0,0,SA_PV2025,0.27861595,3.0,12748.116,1,246.47784,3.0,2.8519275,52.73452,1.0133759,114.61138,46.228497,30.603308,99.0,6.6469765,99.0,99,99,0.60697836,SA_PV2030,0.60697836,3.0,99.0,0.0,0,SA_PV2030,0.60697836,3.0,313.65317,1,309.51318,3.0,0.055878006
42.0638,10.98596,91.06037,0.017,Djibouti,0.0,5.1221,2279.961,3.11256,335.55853,175.8125,1.32852,0.0,16,70.735,9999,81.511,58.403,5.058,5.058,4.741,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1473,1.1418033,0.08411389,100.67011,0.0,103.4423,101.04593,105.469055,101.31523,100.67011,0,9999,99,5.058,5.058,103.4423,103.4423,7.7,4,11699.179,11928.401,45.88302,30.589195,99.0,0.26393825,99.0,99,99,0.27849853,MG_PV2025,0.26393825,5.0,99.0,0.0,0,MG_PV2025,0.26393825,5.0,26839.557,1,259.46402,5.0,6.3545594,105.469055,2.026752,229.22278,45.88302,30.589195,99.0,0.2251681,99.0,99,99,0.6067225,MG_PV2030,0.2251681,5.0,0.07284347,5.775241,1,Grid2030,0.07284347,1.0,145.82364,1,71.94943,1.0,0.035669282
42.06588,10.98721,45.53018,0.009,Djibouti,0.0,5.03485,2281.0,3.0,334.0,175.8125,1.32852,0.0,16,70.479,9999,81.275,58.226,4.792,4.792,4.476,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1300,1.1418033,0.07931607,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,4.792,51.721146,51.721146,7.7,4,5849.589,5964.2,45.5095,30.573936,99.0,0.30855277,99.0,99,99,0.27837166,SA_PV2025,0.27837166,3.0,99.0,0.0,0,SA_PV2025,0.27837166,3.0,12736.938,1,246.26173,3.0,2.849427,52.73452,1.0133759,114.61138,45.5095,30.573936,99.0,6.6468177,99.0,99,99,0.60644615,SA_PV2030,0.60644615,3.0,99.0,0.0,0,SA_PV2030,0.60644615,3.0,313.37817,1,309.2418,3.0,0.05582901
42.03338,10.99305,45.53018,0.009,Djibouti,0.0,4.99732,2282.0,3.11667,327.0,175.8125,1.44233,0.0,16,73.759,9999,84.784,58.231,7.919,7.919,7.719,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1298,1.1236314,0.07728653,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,7.919,51.721146,51.721146,7.7,4,5849.589,5964.2,45.896656,30.589752,99.0,0.30847308,99.0,99,99,0.27824968,SA_PV2025,0.27824968,3.0,99.0,0.0,0,SA_PV2025,0.27824968,3.0,12731.357,1,246.15381,3.0,2.8481784,52.73452,1.0133759,114.61138,45.896656,30.589752,99.0,6.646738,99.0,99,99,0.60618037,SA_PV2030,0.60618037,3.0,99.0,0.0,0,SA_PV2030,0.60618037,3.0,313.24084,1,309.1063,3.0,0.055804547
42.03754,10.99305,45.53018,0.009,Djibouti,0.0,5.0567,2282.0,3.11667,327.0,175.8125,1.44233,0.0,16,73.317,9999,84.329,58.151,7.475,7.475,7.269,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1299,1.1236314,0.080507256,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,7.475,51.721146,51.721146,7.7,4,5849.589,5964.2,45.896656,30.589752,99.0,0.30847308,99.0,99,99,0.27824968,SA_PV2025,0.27824968,3.0,99.0,0.0,0,SA_PV2025,0.27824968,3.0,12731.357,1,246.15381,3.0,2.8481784,52.73452,1.0133759,114.61138,45.896656,30.589752,99.0,6.646738,99.0,99,99,0.60618037,SA_PV2030,0.60618037,3.0,99.0,0.0,0,SA_PV2030,0.60618037,3.0,313.24084,1,309.1063,3.0,0.055804547
